"name","pointx_class","lat","lon","poi_class","Bus stop","Railway stations","Taxi rank","Underground entrance","id"
"Bus Stop (Railway Station)",10590732,51.4802958862821,0.238460227693603,"Bus stop",1,0,0,0,224
"Bus Stop (Railway Station)",10590732,51.4804618104198,0.237777035571309,"Bus stop",1,0,0,0,225
"Bus Stop (Linnet Way)",10590732,51.4795044276548,0.242698910083186,"Bus stop",1,0,0,0,226
"Bus Stop (London Road Lindon Close)",10590732,51.478953629036,0.247510956410098,"Bus stop",1,0,0,0,227
"Bus Stop (London Road Lindon Close)",10590732,51.4784523813389,0.250669119166715,"Bus stop",1,0,0,0,228
"Bus Stop (Lockyer Road)",10590732,51.4789415680367,0.252824701924584,"Bus stop",1,0,0,0,229
"Bus Stop (Hutson Terrace)",10590732,51.4782583589292,0.257486016961062,"Bus stop",1,0,0,0,230
"Bus Stop (Usk Rd)",10590732,51.5095573603167,0.250299648256776,"Bus stop",1,0,0,0,231
"Bus Stop (Tank Hill Road Primary School)",10590732,51.48485819368,0.233123801988702,"Bus stop",1,0,0,0,232
"Bus Stop (London Road)",10590732,51.4965321913674,0.235898773207533,"Bus stop",1,0,0,0,233
"Bus Stop (Purfleet Road)",10590732,51.4981189398295,0.243223677649859,"Bus stop",1,0,0,0,234
"Bus Stop (Blenheim Gardens)",10590732,51.4987836936703,0.246080339778746,"Bus stop",1,0,0,0,235
"Bus Stop (Arnhem Avenue)",10590732,51.4976085719905,0.247333676485399,"Bus stop",1,0,0,0,236
"Bus Stop (Arnhem Avenue)",10590732,51.4976501838778,0.247508618440276,"Bus stop",1,0,0,0,237
"Bus Stop (Central Avenue)",10590732,51.4954280854586,0.247082337926899,"Bus stop",1,0,0,0,238
"Bus Stop (Central Avenue)",10590732,51.4957223687208,0.247212071453632,"Bus stop",1,0,0,0,239
"Bus Stop (Crescent Walk)",10590732,51.4947890299872,0.250393328318871,"Bus stop",1,0,0,0,240
"Bus Stop (Crescent Walk)",10590732,51.4951202193181,0.250942705484465,"Bus stop",1,0,0,0,241
"Bus Stop (Hall Avenue)",10590732,51.4959071015195,0.254453650962577,"Bus stop",1,0,0,0,242
"Bus Stop (Hall Avenue)",10590732,51.4961484262317,0.254998635701282,"Bus stop",1,0,0,0,243
"Bus Stop (Hall Road)",10590732,51.496636174652,0.256290580909735,"Bus stop",1,0,0,0,244
"Bus Stop (Blenheim Gardens)",10590732,51.4985842176452,0.245695918362313,"Bus stop",1,0,0,0,245
"Bus Stop (Watts Crescent)",10590732,51.4858429139084,0.24982312754427,"Bus stop",1,0,0,0,246
"Bus Stop (Recreation Ground)",10590732,51.4978472978516,0.255975794811919,"Bus stop",1,0,0,0,247
"Bus Stop (Stanford Gardens)",10590732,51.4995324330361,0.261865654911745,"Bus stop",1,0,0,0,248
"Bus Stop (Stanford Gardens)",10590732,51.4994443526199,0.262235914190094,"Bus stop",1,0,0,0,249
"Bus Stop (High Street)",10590732,51.4992113487457,0.253319974737807,"Bus stop",1,0,0,0,250
"Bus Stop (High Street)",10590732,51.4989604481679,0.254676388608799,"Bus stop",1,0,0,0,251
"Bus Stop (Aveley Library)",10590732,51.499221164889,0.250467595068502,"Bus stop",1,0,0,0,252
